ETM_ID,ETM_CARRIER,CATEGORIZATION_A,CATEGORIZATION_B,CATEGORIZATION_C
energy_hydrogen_steam_methane_reformer.output (MW),hydrogen,,,
energy_hydrogen_steam_methane_reformer_ccs.output (MW),hydrogen,,,
energy_hydrogen_storage.input (MW),hydrogen,,,
energy_hydrogen_storage.output (MW),hydrogen,,,
energy_imported_hydrogen_backup.output (MW),hydrogen,,,
energy_imported_hydrogen_baseload.output (MW),hydrogen,,,
energy_power_combined_cycle_hydrogen.input (MW),hydrogen,,,
energy_power_turbine_hydrogen.input (MW),hydrogen,,,
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),hydrogen,,,
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),hydrogen,,,
industry_chemicals_fertilizers_burner_hydrogen.input (MW),hydrogen,,,
industry_chemicals_other_burner_hydrogen.input (MW),hydrogen,,,
industry_chemicals_refineries_burner_hydrogen.input (MW),hydrogen,,,
industry_final_demand_for_chemical_fertilizers_hydrogen_non_energetic.input (MW),hydrogen,,,
industry_final_demand_for_chemical_other_hydrogen_non_energetic.input (MW),hydrogen,,,
industry_final_demand_for_other_non_specified_hydrogen.input (MW),hydrogen,,,
industry_other_food_burner_hydrogen.input (MW),hydrogen,,,
industry_other_paper_burner_hydrogen.input (MW),hydrogen,,,
transport_final_demand_hydrogen.input (MW),hydrogen,,,
agriculture_final_demand_network_gas.input (MW),network_gas,,,
buildings_appliances_network_gas.input (MW),network_gas,,,
buildings_cooling_heatpump_air_water_network_gas.input (MW),network_gas,,,
buildings_space_heater_heatpump_air_water_network_gas.input (MW),network_gas,,,
buildings_space_heater_network_gas.input (MW),network_gas,,,
energy_chp_combined_cycle_network_gas.input (MW),network_gas,,,
energy_chp_local_engine_network_gas.input (MW),network_gas,,,
energy_compressor_network_gas.input (MW),network_gas,,,
energy_distribution_greengas.output (MW),network_gas,,,
energy_distribution_network_gas_loss.input (MW),network_gas,,,
energy_export_network_gas.input (MW),network_gas,,,
energy_extraction_natural_gas.output (MW),network_gas,,,
energy_heat_backup_burner_network_gas.input (MW),network_gas,,,
energy_heat_burner_network_gas.input (MW),network_gas,,,
energy_hydrogen_biomass_gasification.input (MW),network_gas,,,
energy_hydrogen_biomass_gasification_ccs.input (MW),network_gas,,,
energy_hydrogen_steam_methane_reformer.input (MW),network_gas,,,
energy_hydrogen_steam_methane_reformer_ccs.input (MW),network_gas,,,
energy_import_natural_gas.output (MW),network_gas,,,
energy_network_gas_storage.input (MW),network_gas,,,
energy_network_gas_storage.output (MW),network_gas,,,
energy_power_combined_cycle_ccs_network_gas.input (MW),network_gas,,,
energy_power_combined_cycle_network_gas.input (MW),network_gas,,,
energy_power_engine_network_gas.input (MW),network_gas,,,
energy_power_turbine_network_gas.input (MW),network_gas,,,
energy_power_ultra_supercritical_network_gas.input (MW),network_gas,,,
energy_regasification_lng.output (MW),network_gas,,,
energy_torrefaction_wood.input (MW),network_gas,,,
households_cooker_network_gas.input (MW),network_gas,,,
households_space_heater_combined_network_gas.input (MW),network_gas,,,
households_space_heater_hybrid_heatpump_air_water_electricity.input (MW),network_gas,,,
households_space_heater_network_gas.input (MW),network_gas,,,
households_water_heater_combined_network_gas.input (MW),network_gas,,,
households_water_heater_hybrid_heatpump_air_water_electricity.input (MW),network_gas,,,
households_water_heater_network_gas.input (MW),network_gas,,,
industry_aluminium_burner_network_gas.input (MW),network_gas,,,
industry_chemicals_other_burner_network_gas.input (MW),network_gas,,,
industry_chemicals_refineries_burner_network_gas.input (MW),network_gas,,,
industry_chp_combined_cycle_gas_power_fuelmix.input (MW),network_gas,,,
industry_chp_engine_gas_power_fuelmix.input (MW),network_gas,,,
industry_chp_turbine_gas_power_fuelmix.input (MW),network_gas,,,
industry_final_demand_for_chemical_fertilizers_network_gas.input (MW),network_gas,,,
industry_final_demand_for_chemical_fertilizers_network_gas_non_energetic.input (MW),network_gas,,,
industry_final_demand_for_chemical_other_network_gas_non_energetic.input (MW),network_gas,,,
industry_final_demand_for_chemical_refineries_network_gas_non_energetic.input (MW),network_gas,,,
industry_final_demand_for_other_non_specified_network_gas.input (MW),network_gas,,,
industry_final_demand_for_other_non_specified_network_gas_non_energetic.input (MW),network_gas,,,
industry_heat_backup_burner_network_gas.input (MW),network_gas,,,
industry_other_food_burner_network_gas.input (MW),network_gas,,,
industry_other_metals_burner_network_gas.input (MW),network_gas,,,
industry_other_paper_burner_network_gas.input (MW),network_gas,,,
industry_steel_blastfurnace_burner_coal_gas.input (MW),network_gas,,,
industry_steel_electricfurnace_burner_network_gas.input (MW),network_gas,,,
other_final_demand_network_gas.input (MW),network_gas,,,
